Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
American express co,AXP,"",47924310.0,7918535000.0,0.1971,0.1822,84,314888.0,0.661398,addition,6.0325170,Q2 2002,FINANCE,"","",51.383
Deere & co.,DE,"",22415699.0,7906241000.0,0.1968,0.2255,85,132675.0,0.595408,addition,7.1858526,Q2 2002,INDUSTRIALS,"","",86.6144
Automatic data processing inc,ADP,"",37963373.0,7540285000.0,0.1876,0.1896,86,769762.0,2.069608,addition,8.9730838,Q2 2002,INFORMATION TECHNOLOGY,"","",63.957
Micron technology  inc.,MU,"",88446158.0,7516154000.0,0.187,0.21,87,426552.0,0.48461,addition,7.8566181,Q2 2002,INFORMATION TECHNOLOGY,"","",21.1294
Lam research corp.,LRCX,"",11532700.0,7504328000.0,0.1868,0.1859,88,-13269.0,-0.114923,reduction,8.0863504,Q2 2002,INFORMATION TECHNOLOGY,"","",67.38
Altria group  inc. (philip morris),MO,"",152890530.0,7289820000.0,0.1814,0.2107,89,635593.0,0.417453,addition,8.2908933,Q2 2002,CONSUMER STAPLES,"","",32.0851
Gilead sciences inc.,GILD,"",105017942.0,7231535000.0,0.18,0.1823,90,754213.0,0.72337,addition,8.3759093,Q2 2002,HEALTH CARE,"","",46.3727
Anthem inc,ANTM,"",18910421.0,7219998000.0,0.1797,0.183,91,65981.0,0.350135,addition,7.7560379,Q2 2002,HEALTH CARE,"","",96.9274
Stryker corp.,SYK,"",27507068.0,7144410000.0,0.1778,0.1854,92,-634653.0,-2.255203,reduction,7.2944418,Q2 2002,HEALTH CARE,"","",85.78
Charter communications inc,CHTR,"",9830690.0,7092351000.0,0.1765,0.1686,93,-271642.0,-2.688904,reduction,5.3479339,Q4 2010,COMMUNICATIONS,"","",210.63
Mondelez international inc. (kraft foods),MDLZ,"",113027986.0,7057469000.0,0.1756,0.1788,94,95079.0,0.084191,addition,8.0860334,Q2 2002,CONSUMER STAPLES,"","",30.2071
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",36603698.0,6982520000.0,0.1738,0.1718,95,406368.0,1.122646,addition,8.6155063,Q2 2002,FINANCE,"","",79.2617
Fidelity national information services inc,FIS,"",48987486.0,6940056000.0,0.1727,0.1863,96,19704.0,0.040239,addition,7.9307468,Q2 2002,FINANCE,"","",93.4194
Zoetis  inc.,ZTS,"",37062693.0,6907005000.0,0.1719,0.1579,97,-3101.0,-0.008366,reduction,7.8200542,Q1 2013,HEALTH CARE,"","",43.23
Booking holdings inc. (priceline),BKNG,"",3117233.0,6820787000.0,0.1697,0.1959,98,8831.0,0.284101,addition,7.5919266,Q2 2002,CONSUMER DISCRETIONARY,"","",648.8729
Conocophillips (phillips petroleum),COP,"",110688147.0,6740909000.0,0.1678,0.1576,99,675979.0,0.614458,addition,8.2659718,Q2 2002,ENERGY,"","",48.4167
Digital realty trust  inc.,DLR,"",44104515.0,6635966000.0,0.1651,0.1676,100,125355.0,0.285033,addition,15.6070562,Q4 2004,REAL ESTATE,"","",95.6363
Cme group inc,CME,"",30883112.0,6568221000.0,0.1635,0.1691,101,275279.0,0.899374,addition,8.5993013,Q4 2002,FINANCE,"","",105.5733
Duke energy corp.,DUK,"",65385255.0,6454833000.0,0.1606,0.1686,102,828757.0,1.28377,addition,8.5002022,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",186.5129
Cigna holding co,CI,"",26815530.0,6357158000.0,0.1582,0.1787,103,-515158.0,-1.884907,reduction,7.8844268,Q2 2002,HEALTH CARE,"","",113.01
T-mobile us inc,TMUS,"",43181915.0,6254036000.0,0.1556,0.1444,104,577193.0,1.354763,addition,3.4601827,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,"","",75.815
U.s. bancorp (first national bank of cincinnati),USB,"",109095804.0,6215187000.0,0.1547,0.1629,105,231960.0,0.213073,addition,7.3582984,Q2 2002,FINANCE,"","",32.4822
Simon property group  inc.,SPG,"",47181855.0,6156288000.0,0.1532,0.1435,106,567034.0,1.216424,addition,14.3579587,Q2 2002,REAL ESTATE,"","",101.0283
Activision blizzard inc,ATVI,"",64256297.0,6132621000.0,0.1526,0.1619,107,-82665.0,-0.128484,reduction,8.2622604,Q2 2002,INFORMATION TECHNOLOGY,"","",37.98
Colgate-palmolive co.,CL,"",74584768.0,6067471000.0,0.151,0.1585,108,246547.0,0.331656,addition,8.8421913,Q2 2002,CONSUMER STAPLES,"","",49.4159
Tjx companies inc.,TJX,"",89780569.0,6053007000.0,0.1506,0.1588,109,1051630.0,1.185216,addition,7.4414855,Q2 2002,CONSUMER DISCRETIONARY,"","",32.998
Square inc,SQ,"",24760800.0,6036683000.0,0.1502,0.1509,110,195530.0,0.795961,addition,6.2307594,Q4 2015,FINANCE,"","",43.4745
Public storage  inc.,PSA,"",19935371.0,5994366000.0,0.1492,0.1322,111,137018.0,0.692068,addition,11.3768023,Q2 2002,REAL ESTATE,"","",126.3863
Csx corp,CSX,"",186291657.0,5976237000.0,0.1487,0.1619,112,26133.0,0.01403,addition,8.2631180,Q2 2002,TRANSPORTS,"","",23.9511
Truist financial corp,TFC,"",107677573.0,5976104000.0,0.1487,0.1687,113,715245.0,0.668689,addition,8.0066892,Q2 2002,FINANCE,"","",44.8512
Becton  dickinson and co.,BDX,"",24297253.0,5908850000.0,0.147,0.1598,114,-2168.0,-0.008922,reduction,8.4603356,Q2 2002,HEALTH CARE,"","",137.21
Vanguard s&p 500 etf,VOO,"",14991874.0,5899602000.0,0.1468,0.1345,115,1345871.0,9.862749,addition,No Data,Q4 2012,FINANCE,"","",279.6142
Marsh & mclennan companies  inc.,MMC,"",41891530.0,5893300000.0,0.1467,0.1371,116,281438.0,0.67637,addition,8.2687299,Q2 2002,FINANCE,"","",49.4967
Illinois tool works inc,ITW,"",25665607.0,5737804000.0,0.1428,0.1523,117,253701.0,0.998355,addition,8.1486444,Q2 2002,INDUSTRIALS,"","",73.0427
Idexx laboratories inc.,IDXX,"",9065541.0,5725343000.0,0.1425,0.1209,118,-70438.0,-0.770996,reduction,10.6558233,Q2 2002,HEALTH CARE,"","",87.63
Chubb limited,CB,"",36008115.0,5723131000.0,0.1424,0.1529,119,234299.0,0.654946,addition,8.2071642,Q2 2002,FINANCE,"","",96.7275
General motors co,GM,"",96652017.0,5718899000.0,0.1423,0.1477,120,1657113.0,1.744423,addition,6.6577414,Q4 2010,CONSUMER DISCRETIONARY,"","",35.8469
Estee lauder companies inc.,EL,"",17720159.0,5636428000.0,0.1403,0.1374,121,259711.0,1.487425,addition,7.6414631,Q2 2002,CONSUMER STAPLES,"","",75.4391
Sherwin-williams co.,SHW,"",20663257.0,5629704000.0,0.1401,0.1376,122,-10961.0,-0.053018,reduction,7.8477268,Q2 2002,MATERIALS,"","",50.02
Air products & chemicals inc,APD,"",19348853.0,5566277000.0,0.1385,0.1455,123,232987.0,1.218815,addition,8.7407145,Q2 2002,MATERIALS,"","",97.8141
Welltower inc,WELL,"",66365510.0,5514975000.0,0.1372,0.1277,124,462414.0,0.701657,addition,15.7054772,Q2 2002,REAL ESTATE,"","",60.6674
Sba communications corp.,SBAC,"",17222771.0,5488897000.0,0.1366,0.1299,125,-85275.0,-0.49269,reduction,15.7208839,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",110.76
Fedex corporation,FDX,"",18300555.0,5459605000.0,0.1359,0.1391,126,190583.0,1.052365,addition,6.8452127,Q2 2002,TRANSPORTS,"","",111.6545
Southern co.,SO,"",90175199.0,5456502000.0,0.1358,0.1508,127,471093.0,0.525163,addition,8.5165282,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",42.7433
Analog devices inc,ADI,"",31268828.0,5383242000.0,0.134,0.1307,128,113264.0,0.363543,addition,8.4779138,Q2 2002,INFORMATION TECHNOLOGY,"","",57.9851
Illumina inc,ILMN,"",11338985.0,5365721000.0,0.1335,0.1177,129,10295.0,0.090875,addition,7.7293695,Q2 2002,HEALTH CARE,"","",138.0246
Capital one financial corp,COF,"",34602789.0,5352707000.0,0.1332,0.1196,130,-147048.0,-0.423162,reduction,7.7564943,Q2 2002,FINANCE,"","",64.08
Autodesk  inc.,ADSK,"",17647131.0,5151197000.0,0.1282,0.1316,131,99854.0,0.569057,addition,8.0209377,Q2 2002,INFORMATION TECHNOLOGY,"","",56.2013
Intercontinental exchange inc,ICE,"",43273179.0,5136527000.0,0.1278,0.1308,132,-9143.0,-0.021124,reduction,7.6840593,Q4 2005,FINANCE,"","",50.86
Dominion energy inc,D,"",69274386.0,5096516000.0,0.1268,0.1393,133,1478160.0,2.180298,addition,8.5683948,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,"","",60.9061
Kla corp,KLAC,"",15668447.0,5079868000.0,0.1264,0.1406,134,-63631.0,-0.404467,reduction,10.2584383,Q2 2002,INFORMATION TECHNOLOGY,"","",69.28
Fiserv inc.,FISV,"",47418471.0,5068561000.0,0.1261,0.1461,135,2054193.0,4.528217,addition,7.1606967,Q2 2002,INFORMATION TECHNOLOGY,"","",54.684
Iqvia holdings inc,IQV,"",20776374.0,5034530000.0,0.1253,0.109,136,-89021.0,-0.426644,reduction,10.8429208,Q2 2013,HEALTH CARE,"","",88.29
Zoom video communications inc,ZM,"",12968696.0,5019275000.0,0.1249,0.1078,137,565755.0,4.561458,addition,5.4770571,Q2 2019,INFORMATION TECHNOLOGY,"","",225.3261
Norfolk southern corp.,NSC,"",18895336.0,5015012000.0,0.1248,0.1371,138,25524.0,0.135264,addition,7.6507942,Q2 2002,TRANSPORTS,"","",63.7428
Edwards lifesciences corp.,EW,"",48309450.0,5003409000.0,0.1245,0.1097,139,-159126.0,-0.328308,reduction,7.7502474,Q2 2002,HEALTH CARE,"","",21.84
Eaton corp. (torbenson axle co. - eaton axle & spring),ETN,"",33615179.0,4981097000.0,0.124,0.1247,140,266642.0,0.799561,addition,8.4333113,Q2 2002,CONSUMER DISCRETIONARY,"","",60.888
Waste management  inc.,WM,"",34945156.0,4896165000.0,0.1218,0.1214,141,155142.0,0.445938,addition,8.2985612,Q2 2002,INDUSTRIALS,"","",47.6722
Moodys corp,MCO,"",13508886.0,4895215000.0,0.1218,0.1088,142,40892.0,0.303624,addition,7.2550408,Q2 2002,FINANCE,"","",76.5179
Shopify inc,SHOP,"",3348876.0,4892640000.0,0.1218,0.0979,143,78123.0,2.388533,addition,2.9556655,Q2 2016,COMMUNICATIONS,"","",306.4757
Emerson electric co.,EMR,"",50616504.0,4871331000.0,0.1212,0.1227,144,352930.0,0.702159,addition,8.4671301,Q2 2002,INDUSTRIALS,"","",48.3066
Progressive corp.,PGR,"",48895366.0,4802015000.0,0.1195,0.1266,145,-71349.0,-0.145709,reduction,8.3558351,Q2 2002,FINANCE,"","",34.21
Twitter inc,TWTR,"",69531307.0,4784450000.0,0.1191,0.12,146,-193694.0,-0.277797,reduction,8.7135613,Q4 2013,COMMUNICATIONS,"","",33.38
Moderna inc,MRNA,"",20194904.0,4745398000.0,0.1181,0.067,147,1275874.0,6.743866,addition,5.0031187,Q4 2018,HEALTH CARE,"","",43.6997
Docusign inc,DOCU,"",16951794.0,4739213000.0,0.1179,0.0894,148,628686.0,3.851509,addition,8.7005841,Q2 2018,INFORMATION TECHNOLOGY,"","",85.5526
Boston scientific inc.,BSX,"",110135093.0,4709377000.0,0.1172,0.1148,149,305405.0,0.278071,addition,7.7350064,Q2 2002,HEALTH CARE,"","",18.4476
Synopsys inc.,SNPS,"",16935409.0,4670617000.0,0.1162,0.1139,150,-63847.0,-0.375587,reduction,11.0997343,Q2 2002,INFORMATION TECHNOLOGY,"","",52.35
Avalonbay communities  inc.,AVB,"",22231905.0,4639577000.0,0.1155,0.1103,151,134703.0,0.609593,addition,15.9242927,Q2 2002,REAL ESTATE,"","",129.8804
Microchip technology inc,MCHP,"",61845840.0,4630397000.0,0.1152,0.1282,152,772196.0,1.264369,addition,11.2840829,Q2 2002,INFORMATION TECHNOLOGY,"","",56.0249
Chipotle mexican grill  inc.,CMG,"",2941817.0,4560816000.0,0.1135,0.1133,153,-6087.0,-0.206486,reduction,10.4710120,Q1 2006,CONSUMER DISCRETIONARY,"","",341.89
Royal bank of canada (nyse),RY,"",44525823.0,4510911000.0,0.1123,0.1094,154,666474.0,1.519571,addition,3.1246833,Q1 2015,FINANCE,"","",65.0313
Msci inc,MSCI,"",8456311.0,4507891000.0,0.1122,0.0965,155,-48170.0,-0.566407,reduction,10.2572489,Q4 2007,FINANCE,"","",68.32
Centene corp,CNC,"",61776603.0,4505368000.0,0.1121,0.1067,156,72721.0,0.117855,addition,10.5955381,Q2 2002,HEALTH CARE,"","",48.9283
Cbre group inc common stock class a,CBRE,"",52009095.0,4458739000.0,0.111,0.1099,157,663218.0,1.291667,addition,15.4910502,Q2 2004,REAL ESTATE,"","",36.0221
