Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Adobe systems  inc.,ADBE,"",38334668.0,22070036000.0,0.5479,0.5563,21,163793.0,0.429105,addition,8.0467397,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,79.6686,670.67
Exxonmobil corp. (standard oil of new jersey),XOM,"",352994917.0,20763161000.0,0.515456,0.5543,22,-127453.0,-0.036093,reduction,8.3380104,Q2 2002,ENERGY,13F,09/30/2021,70.3,64.31
Netflix inc,NFLX,"",33520926.0,20459162000.0,0.507909,0.4387,23,148555.0,0.445144,addition,7.5874388,Q2 2002,COMMUNICATIONS,13F,09/30/2021,137.0767,691.69
Salesforce.com inc.,CRM,"",73630768.0,19970137000.0,0.495769,0.4328,24,2425234.0,3.405963,addition,7.5210182,Q3 2004,INFORMATION TECHNOLOGY,13F,09/30/2021,89.1802,308.02
Pfizer  inc.,PFE,"",459942303.0,19782119000.0,0.491101,0.4446,25,3738673.0,0.819518,addition,8.2034576,Q2 2002,HEALTH CARE,13F,09/30/2021,29.2131,50.87
Pepsico inc. (loft  inc.),PEP,"",121743158.0,18311389000.0,0.454589,0.4452,26,1000164.0,0.828341,addition,8.8084683,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,79.3387,163.37
Cisco systems  inc.,CSCO,"",335951937.0,18285864000.0,0.453956,0.4414,27,1281271.0,0.382845,addition,7.9652198,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,22.4026,56.76
Intel corp.,INTC,"",340186593.0,18125142000.0,0.449966,0.4718,28,2467084.0,0.730513,addition,8.3851761,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,26.7935,50.23
Coca cola co.,KO,"",343659763.0,18031828000.0,0.447649,0.4626,29,132157.0,0.038471,addition,7.9704363,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,29.4389,55.91
Thermo fisher scientific  inc.,TMO,"",30966153.0,17691893000.0,0.43921,0.3856,30,252708.0,0.822793,addition,7.8710385,Q2 2002,HEALTH CARE,13F,09/30/2021,107.6452,637.3
Accenture plc,ACN,"",55114702.0,17632295000.0,0.43773,0.4026,31,231364.0,0.421556,addition,8.2701206,Q2 2003,INFORMATION TECHNOLOGY,13F,09/30/2021,88.7744,372.78
Abbott laboratories,ABT,"",148779946.0,17575376000.0,0.436317,0.4265,32,935362.0,0.632666,addition,8.3922885,Q2 2002,HEALTH CARE,13F,09/30/2021,39.8751,128.62
Verizon communications (bell atlantic corp.),VZ,"",325363439.0,17572879000.0,0.436255,0.4501,33,2582100.0,0.799953,addition,7.8588001,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,44.6251,51.73
Broadcom ltd. (avago technologies),AVGO,"",36041222.0,17477470000.0,0.433887,0.4243,34,287790.0,0.80493,addition,8.7849710,Q3 2009,INFORMATION TECHNOLOGY,13F,09/30/2021,169.628,569.64
Walmart inc,WMT,"",125248851.0,17457186000.0,0.433383,0.4609,35,-6083216.0,-4.631935,reduction,4.4916245,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,68.8,141.94
Costco co.,COST,"",37336019.0,16776940000.0,0.416496,0.3644,36,331107.0,0.894765,addition,8.4457429,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,115.8937,526.29
Chevron corp. (standard oil of california),CVX,"",161747748.0,16409309000.0,0.407369,0.421,37,245775.0,0.152181,addition,8.3637597,Q2 2002,ENERGY,13F,09/30/2021,83.6471,115.42
Texas instruments  inc.,TXN,"",84750116.0,16289820000.0,0.404403,0.4015,38,860537.0,1.025797,addition,9.1799394,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,47.6826,189.57
Lilly (eli) & co.,LLY,"",69043160.0,15952422000.0,0.396027,0.3939,39,73612.0,0.106731,addition,7.1993043,Q2 2002,HEALTH CARE,13F,09/30/2021,64.0682,261.18
Merck & co,MRK,"",210468088.0,15808258000.0,0.392448,0.4365,40,-15085702.0,-6.688295,reduction,8.3143791,Q2 2002,HEALTH CARE,13F,09/30/2021,47.79,82.6
Mcdonalds corp.,MCD,"",65417539.0,15772823000.0,0.391568,0.3712,41,850590.0,1.317377,addition,8.7597265,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,85.5,252.69
Abbvie inc,ABBV,"",145529515.0,15698269000.0,0.389717,0.4056,42,835949.0,0.577738,addition,8.2396029,Q4 2012,HEALTH CARE,13F,09/30/2021,,117.35
American tower corp.  class a,AMT,"",58836295.0,15615742000.0,0.387668,0.3894,43,917837.0,1.584706,addition,12.9270400,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,114.2357,257.53
At&t inc. (southwestern bell - sbc corp.),T,"",571602105.0,15438973000.0,0.38328,0.4061,44,4535694.0,0.799852,addition,8.0056317,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,33.3096,24.66
Wells fargo & co.  (northwest bancorporation),WFC,"",332443083.0,15428683000.0,0.383025,0.3757,45,-908142.0,-0.272428,reduction,8.0425173,Q2 2002,FINANCE,13F,09/30/2021,34.27,49.84
Nike inc.,NKE,"",106085519.0,15406800000.0,0.382481,0.4023,46,1438690.0,1.374805,addition,8.3003376,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,45.3235,171.74
Danaher corp.,DHR,"",49736739.0,15141853000.0,0.375904,0.3297,47,367326.0,0.744036,addition,6.9669098,Q4 2019,HEALTH CARE,13F,09/30/2021,155.3195,309.67
Medtronic plc,MDT,"",112499622.0,14101827000.0,0.350085,0.3453,48,720332.0,0.644423,addition,8.3711044,Q2 2002,HEALTH CARE,13F,09/30/2021,64.3233,117.83
Nextera energy inc.,NEE,"",177664729.0,13950235000.0,0.346321,0.322,49,1107652.0,0.627362,addition,9.0578489,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,26.6355,87.78
Linde plc (praxair inc.),LIN,"",45695971.0,13406283000.0,0.332818,0.3049,50,3320232.0,7.835219,addition,8.8487547,Q2 2002,MATERIALS,13F,09/30/2021,133.015,331.48
Qualcomm inc.,QCOM,"",103694686.0,13374540000.0,0.33203,0.3658,51,856156.0,0.832525,addition,9.1927913,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,53.5381,183.54
Oracle corp,ORCL,"",144899404.0,12625085000.0,0.313424,0.3097,52,-14965655.0,-9.36143,reduction,5.2918163,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,25.35,95.33
Lowes companies  inc.,LOW,"",58969301.0,11962512000.0,0.296975,0.2864,53,-353152.0,-0.595309,reduction,8.5162503,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,34.7,245.73
Prologis  inc.,PLD,"",95360203.0,11961029000.0,0.296938,0.2838,54,-43307.0,-0.045394,reduction,12.8995704,Q2 2002,REAL ESTATE,13F,09/30/2021,50.21,150.38
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",56083389.0,11905382000.0,0.295557,0.3058,55,66148.0,0.118085,addition,8.1233269,Q2 2002,INDUSTRIALS,13F,09/30/2021,79.4568,220.49
Philip morris international inc,PM,"",125442705.0,11890714000.0,0.295193,0.3079,56,609723.0,0.488431,addition,8.0487473,Q1 2008,CONSUMER STAPLES,13F,09/30/2021,68.9462,93.59
Bristol-myers squibb co,BMY,"",198931399.0,11770771000.0,0.292215,0.3282,57,1589969.0,0.805694,addition,8.9523507,Q2 2002,HEALTH CARE,13F,09/30/2021,48.496,59.44
Citigroup  inc.,C,"",167266299.0,11738749000.0,0.29142,0.2991,58,-2617001.0,-1.54047,reduction,8.2527887,Q2 2002,FINANCE,13F,09/30/2021,3775.98,66.85
United parcel service  inc. class b,UPS,"",64345689.0,11717351000.0,0.290889,0.3286,59,854090.0,1.345202,addition,8.8351789,Q2 2002,TRANSPORTS,13F,09/30/2021,91.8441,207.85
Morgan stanley,MS,"",118588683.0,11539865000.0,0.286483,0.2752,60,-2040907.0,-1.691879,reduction,6.3737139,Q2 2002,FINANCE,13F,09/30/2021,43.1,97.68
Intuit  inc.,INTU,"",21258621.0,11469238000.0,0.28473,0.2581,61,98031.0,0.463272,addition,7.7844194,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,89.5047,635.06
Starbucks corp.,SBUX,"",98303028.0,10843807000.0,0.269203,0.2703,62,1166066.0,1.200435,addition,8.3371239,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,43.4921,112.52
Union pacific corp.,UNP,"",54187729.0,10621337000.0,0.26368,0.3001,63,-648980.0,-1.183477,reduction,8.3094347,Q2 2002,TRANSPORTS,13F,09/30/2021,73.94,239.75
Moderna inc,MRNA,"",27181411.0,10461037000.0,0.2597,0.1181,64,6986507.0,34.595396,addition,6.7339674,Q4 2018,HEALTH CARE,13F,09/30/2021,131.3892,242.23
International business machines corp.,IBM,"",78383555.99,10410926000.0,0.258456,0.2728,65,169610.99,0.216855,addition,8.3604596,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,118.2416,118.06
Raytheon technologies corp. (united technologies),RTX,"",118940510.0,10224126000.0,0.253819,0.2726,66,-9445788.0,-7.357318,reduction,7.8879394,Q2 2002,INDUSTRIALS,13F,09/30/2021,55.35,87.45
Blackrock inc. class a,BLK,"",12175676.0,10211252000.0,0.253499,0.264,67,51069.0,0.421201,addition,8.0000082,Q2 2002,FINANCE,13F,09/30/2021,348.3353,931.54
Advanced micro devices inc,AMD,"",97927066.0,10076696000.0,0.250159,0.2279,68,426868.0,0.437812,addition,8.0733610,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,15.0944,151.34
Amgen  inc.,AMGN,"",46797242.0,9951434000.0,0.247049,0.2858,69,-313630.0,-0.665727,reduction,8.2410933,Q2 2002,HEALTH CARE,13F,09/30/2021,90.11,205.82
Servicenow inc,NOW,"",15847917.0,9861684000.0,0.244821,0.2148,70,144806.0,0.922148,addition,7.9999581,Q3 2012,INFORMATION TECHNOLOGY,13F,09/30/2021,147.5873,684.93
Goldman sachs group inc,GS,"",25978433.0,9820627000.0,0.243802,0.2468,71,-156983.0,-0.600652,reduction,7.7065045,Q2 2002,FINANCE,13F,09/30/2021,138.37,391.55
Target corp.,TGT,"",42878327.0,9809275000.0,0.24352,0.2573,72,107056.0,0.250299,addition,8.6671909,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,57.9077,253.8
Crown castle international corp,CCI,"",55647911.0,9644895000.0,0.239439,0.2688,73,276221.0,0.498849,addition,12.8756087,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,91.2395,184.7
Boeing company,BA,"",42917783.0,9439338000.0,0.234336,0.254,74,310052.0,0.72769,addition,7.3219557,Q2 2002,INDUSTRIALS,13F,09/30/2021,108.5307,226.62
Applied materials inc.,AMAT,"",73230636.0,9426979000.0,0.234029,0.2606,75,-294754.0,-0.400887,reduction,8.1103472,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,21.99,155.98
Intuitive surgical inc,ISRG,"",27958101.0,9264848000.0,0.230004,0.2106,76,349302.0,1.265184,addition,7.8320100,Q2 2002,HEALTH CARE,13F,09/30/2021,300.3921,361.42
Cvs health corp. (melville shoe),CVS,"",108357306.0,9195201000.0,0.228275,0.2232,77,861567.0,0.801489,addition,8.2115323,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,53.174,92.73
Caterpillar inc.,CAT,"",47854764.0,9186680000.0,0.228064,0.2569,78,419797.0,0.884995,addition,8.7410517,Q2 2002,INDUSTRIALS,13F,09/30/2021,88.5651,202.98
Equinix inc,EQIX,"",11623461.0,9184046000.0,0.227998,0.23,79,108266.0,0.940201,addition,12.9509016,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,305.9622,798.0
3m co. (minnesota mining & manufacturing),MMM,"",50131410.0,8794052000.0,0.218317,0.228,80,3998432.0,8.667188,addition,8.6636875,Q2 2002,INDUSTRIALS,13F,09/30/2021,110.7271,183.34
S&p global inc. (mcgraw-hill inc.),SPGI,"",20243471.0,8601249000.0,0.21353,0.2048,81,192963.0,0.962385,addition,8.3997805,Q2 2002,COMMUNICATIONS,13F,09/30/2021,72.9371,465.5
General electric co,GE,"",82275565.0,8476851000.0,0.210442,0.2199,82,196931.0,0.23993,addition,7.4795968,Q2 2002,INDUSTRIALS,13F,09/30/2021,-459.3806,101.99
Charles schwab corp,SCHW,"",115945782.0,8445492000.0,0.209664,0.2085,83,901309.0,0.783444,addition,6.4162924,Q2 2002,FINANCE,13F,09/30/2021,31.5237,81.42
American express co,AXP,"",47520928.0,7961183000.0,0.19764,0.1971,84,-403382.0,-0.841706,reduction,5.9817409,Q2 2002,FINANCE,13F,09/30/2021,51.38,179.61
Analog devices inc,ADI,"",45832256.0,7675986000.0,0.19056,0.134,85,14563428.0,46.574908,addition,12.4471676,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,92.781,187.04
Automatic data processing inc,ADP,"",38185691.0,7634083000.0,0.18952,0.1876,86,222318.0,0.585612,addition,9.0332584,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,64.7516,236.88
Stryker corp.,SYK,"",28580094.0,7537142000.0,0.187113,0.1778,87,1073026.0,3.90091,addition,7.5789914,Q2 2002,HEALTH CARE,13F,09/30/2021,92.4607,262.06
Conocophillips (phillips petroleum),COP,"",110089319.0,7460753000.0,0.185217,0.1678,88,-598828.0,-0.541005,reduction,8.2212525,Q2 2002,ENERGY,13F,09/30/2021,48.42,71.97
Booking holdings inc. (priceline),BKNG,"",3136834.0,7446437000.0,0.184861,0.1697,89,19601.0,0.628795,addition,7.6396643,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,659.6489,2366.38
Gilead sciences inc.,GILD,"",105205361.0,7348594000.0,0.182432,0.18,90,187419.0,0.178464,addition,8.3908573,Q2 2002,HEALTH CARE,13F,09/30/2021,46.4118,67.46
Lockheed martin corp.,LMT,"",21290852.0,7347473000.0,0.182405,0.2012,91,-74344.0,-0.347968,reduction,7.6885461,Q2 2002,INDUSTRIALS,13F,09/30/2021,155.56,341.99
Zoetis  inc.,ZTS,"",37281849.0,7237899000.0,0.179684,0.1719,92,219156.0,0.591312,addition,7.8662951,Q1 2013,HEALTH CARE,13F,09/30/2021,44.1171,221.87
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",36849461.0,7209228000.0,0.178973,0.1738,93,245763.0,0.671416,addition,8.6733522,Q2 2002,FINANCE,13F,09/30/2021,80.0362,202.46
Deere & co.,DE,"",21491286.0,7201085000.0,0.17877,0.1968,94,-924413.0,-4.123953,reduction,6.9312983,Q2 2002,INDUSTRIALS,13F,09/30/2021,86.61,353.52
Anthem inc,ANTM,"",18928066.0,7056384000.0,0.175178,0.1797,95,17645.0,0.093308,addition,7.7632749,Q2 2002,HEALTH CARE,13F,09/30/2021,97.1872,429.68
Altria group  inc. (philip morris),MO,"",153229081.0,6974987000.0,0.173157,0.1814,96,338551.0,0.221434,addition,8.3092521,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,32.1197,44.42
Charter communications inc,CHTR,"",9429553.0,6860567000.0,0.170317,0.1765,97,-401137.0,-4.080456,reduction,5.1297138,Q4 2010,COMMUNICATIONS,13F,09/30/2021,210.63,691.04
Truist financial corp,TFC,"",115709207.0,6786346000.0,0.168474,0.1487,98,8031634.0,7.458966,addition,8.6039054,Q2 2002,FINANCE,13F,09/30/2021,45.8079,62.43
Lam research corp.,LRCX,"",11565114.0,6582284000.0,0.163408,0.1868,99,32414.0,0.281062,addition,8.1471040,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,68.7863,630.63
Mondelez international inc. (kraft foods),MDLZ,"",113016321.0,6575290000.0,0.163235,0.1756,100,-11665.0,-0.01032,reduction,8.0851989,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,30.21,62.17
U.s. bancorp (first national bank of cincinnati),USB,"",108793926.0,6466710000.0,0.160539,0.1547,101,-301878.0,-0.276709,reduction,7.3379374,Q2 2002,FINANCE,13F,09/30/2021,32.48,59.32
Duke energy corp.,DUK,"",66230475.0,6463430000.0,0.160458,0.1606,102,845220.0,1.292677,addition,8.6100823,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,185.3752,98.99
Digital realty trust  inc.,DLR,"",44418517.0,6416254000.0,0.159287,0.1651,103,314002.0,0.71195,addition,15.7181706,Q4 2004,REAL ESTATE,13F,09/30/2021,95.985,164.11
Micron technology  inc.,MU,"",89663771.0,6364336000.0,0.157998,0.187,104,1217613.0,1.376671,addition,7.9647779,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,21.807,75.46
Marsh & mclennan companies  inc.,MMC,"",41987790.0,6358211000.0,0.157846,0.1467,105,96260.0,0.229784,addition,8.2877301,Q2 2002,FINANCE,13F,09/30/2021,49.7337,167.79
Chubb limited,CB,"",35555260.0,6168126000.0,0.153127,0.1424,106,-452855.0,-1.257647,reduction,8.1039471,Q2 2002,FINANCE,13F,09/30/2021,96.73,191.78
Vanguard s&p 500 etf,VOO,"",15625246.0,6162597000.0,0.15299,0.1468,107,633372.0,4.224769,addition,No Data,Q4 2012,FINANCE,13F,09/30/2021,284.263,430.37
Simon property group  inc.,SPG,"",47358271.0,6155154000.0,0.152805,0.1532,108,176416.0,0.373906,addition,14.4116440,Q2 2002,REAL ESTATE,13F,09/30/2021,101.1378,167.49
Cme group inc,CME,"",31102803.0,6014661000.0,0.149317,0.1635,109,219691.0,0.711363,addition,8.6604735,Q4 2002,FINANCE,13F,09/30/2021,106.1902,226.42
Square inc,SQ,"",24951933.0,5984471000.0,0.148567,0.1502,110,191133.0,0.771918,addition,6.2788558,Q4 2015,FINANCE,13F,09/30/2021,44.9742,231.85
Tjx companies inc.,TJX,"",90634840.0,5980086000.0,0.148459,0.1506,111,854271.0,0.95151,addition,7.5369552,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,33.3109,73.55
Fidelity national information services inc,FIS,"",48868302.0,5946296000.0,0.14762,0.1727,112,-119184.0,-0.243295,reduction,7.9114517,Q2 2002,FINANCE,13F,09/30/2021,93.42,110.44
Public storage  inc.,PSA,"",19988792.0,5938670000.0,0.14743,0.1492,113,53421.0,0.267971,addition,11.4072888,Q2 2002,REAL ESTATE,13F,09/30/2021,126.8462,333.54
Becton  dickinson and co.,BDX,"",24157949.0,5938508000.0,0.147426,0.147,114,-139304.0,-0.573332,reduction,8.4118297,Q2 2002,HEALTH CARE,13F,09/30/2021,137.21,249.86
Sherwin-williams co.,SHW,"",20617853.0,5767433000.0,0.143179,0.1401,115,-45404.0,-0.219733,reduction,7.8304827,Q2 2002,MATERIALS,13F,09/30/2021,50.02,333.16
Colgate-palmolive co.,CL,"",76214509.0,5760294000.0,0.143002,0.151,116,1629741.0,2.185086,addition,9.0091267,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,49.9794,77.58
Sba communications corp.,SBAC,"",17340283.0,5732177000.0,0.142304,0.1366,117,117512.0,0.682306,addition,15.8281484,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,112.2496,350.29
Dexcom inc,DXCM,"",10349258.0,5659596000.0,0.140502,0.109,118,93416.0,0.910856,addition,10.6970290,Q2 2005,HEALTH CARE,13F,09/30/2021,122.208,651.26
Southern co.,SO,"",90624018.0,5615971000.0,0.139419,0.1358,119,448819.0,0.497719,addition,8.5589166,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,42.8352,62.17
Capital one financial corp,COF,"",34276069.0,5551695000.0,0.137824,0.1332,120,-326720.0,-0.944201,reduction,7.6832574,Q2 2002,FINANCE,13F,09/30/2021,64.08,151.95
T-mobile us inc,TMUS,"",43438208.0,5549665000.0,0.137773,0.1556,121,256293.0,0.593519,addition,3.4807196,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,76.1265,117.19
Csx corp,CSX,"",185997865.0,5531577000.0,0.137324,0.1487,122,-293792.0,-0.157705,reduction,8.2500866,Q2 2002,TRANSPORTS,13F,09/30/2021,23.95,35.54
Edwards lifesciences corp.,EW,"",48806662.0,5525402000.0,0.137171,0.1245,123,497212.0,1.029223,addition,7.8300147,Q2 2002,HEALTH CARE,13F,09/30/2021,22.7708,118.35
Welltower inc,WELL,"",67020181.0,5522462000.0,0.137098,0.1372,124,654671.0,0.986463,addition,15.8604058,Q2 2002,REAL ESTATE,13F,09/30/2021,60.8823,86.22
General motors co,GM,"",102605303.0,5408325000.0,0.134264,0.1423,125,5953286.0,6.159505,addition,7.0678253,Q4 2010,CONSUMER DISCRETIONARY,13F,09/30/2021,36.8282,64.61
Estee lauder companies inc.,EL,"",17845463.0,5352391000.0,0.132876,0.1403,126,125304.0,0.707127,addition,7.6575111,Q2 2002,CONSUMER STAPLES,13F,09/30/2021,77.0163,354.46
Cigna holding co,CI,"",26699570.0,5344185000.0,0.132672,0.1582,127,-115960.0,-0.432436,reduction,7.8503317,Q2 2002,HEALTH CARE,13F,09/30/2021,113.01,216.98
Illinois tool works inc,ITW,"",25743302.0,5319338000.0,0.132055,0.1428,128,77695.0,0.30272,addition,8.1733120,Q2 2002,INDUSTRIALS,13F,09/30/2021,73.4432,242.64
Kla corp,KLAC,"",15705168.0,5253535000.0,0.130422,0.1264,129,36721.0,0.234363,addition,10.2824802,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,69.9001,419.84
Waste management  inc.,WM,"",34988230.0,5225841000.0,0.129734,0.1218,130,43074.0,0.123262,addition,8.3087901,Q2 2002,INDUSTRIALS,13F,09/30/2021,47.7952,165.41
Msci inc,MSCI,"",8513944.0,5179372000.0,0.12858,0.1122,131,57633.0,0.681538,addition,10.3271560,Q4 2007,FINANCE,13F,09/30/2021,71.9755,666.42
Fiserv inc.,FISV,"",47565663.0,5160875000.0,0.128121,0.1261,132,147192.0,0.310411,addition,7.1829242,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,54.8465,100.88
Synopsys inc.,SNPS,"",17008008.0,5092367000.0,0.126421,0.1162,133,72599.0,0.428682,addition,11.1525907,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,53.4046,353.92
Dominion energy inc,D,"",69658334.0,5086451000.0,0.126274,0.1268,134,383948.0,0.554242,addition,8.6158845,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,60.9767,75.35
Cbre group inc common stock class a,CBRE,"",52225032.0,5084629000.0,0.126228,0.111,135,215937.0,0.415191,addition,15.5553677,Q2 2004,REAL ESTATE,13F,09/30/2021,36.2736,100.55
Eaton corp. (torbenson axle co. - eaton axle & spring),ETN,"",33865626.0,5056477000.0,0.12553,0.124,136,250447.0,0.745041,addition,8.4922107,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2021,61.5439,173.1
Autodesk  inc.,ADSK,"",17685136.0,5043271000.0,0.125202,0.1282,137,38005.0,0.215361,addition,8.0441667,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,56.6921,330.55
Iqvia holdings inc,IQV,"",20945921.0,5017385000.0,0.124559,0.1253,138,169547.0,0.816057,addition,10.9314052,Q2 2013,HEALTH CARE,13F,09/30/2021,89.5143,264.45
Activision blizzard inc,ATVI,"",64780411.0,5013356000.0,0.124459,0.1526,139,524114.0,0.815662,addition,8.3296525,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2021,38.2989,64.2
