Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Bank of america corp. (north carolina national bank),BAC,"",502543661.0,21332977000.0,0.596961,0.5935,18,-14582251.0,-2.819865,reduction,5.9720666,Q3 2007,FINANCE,13F,09/30/2021,23.49,46.51
Paypal holdings inc,PYPL,"",81049941.0,21090004000.0,0.590162,0.6667,19,-1124946.0,-1.368966,reduction,6.8976786,Q3 2015,COMMUNICATIONS,13F,09/30/2021,63.1,206.27
Adobe systems  inc.,ADBE,"",36314478.0,20906971000.0,0.58504,0.5795,20,762224.0,2.143954,addition,7.6226864,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,178.1341,670.67
Walt disney co. (the),DIS,"",119795456.0,20265797000.0,0.567098,0.5845,21,314932.0,0.263584,addition,6.5925762,Q3 2007,COMMUNICATIONS,13F,09/30/2021,114.155,157.33
Cisco systems  inc.,CSCO,"",338599711.0,18429982000.0,0.515727,0.5028,22,-2229899.0,-0.654256,reduction,8.0279970,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,35.32,56.76
Pfizer  inc.,PFE,"",410828305.0,17669727000.0,0.494452,0.4437,23,3780033.0,0.928645,addition,7.3274682,Q3 2007,HEALTH CARE,13F,09/30/2021,32.7057,50.87
Spdr s&p 500 etf trust,SPY,CALL,41091900.0,17634185000.0,0.493458,0.396,24,7856900.0,23.640439,addition,No Data,Q4 2012,FINANCE,13F,09/30/2021,,468.14
Salesforce.com inc.,CRM,"",64763613.0,17565189000.0,0.491527,0.4146,25,3778735.0,6.196184,addition,6.6152822,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,118.4273,308.02
Intel corp.,INTC,"",324410268.0,17284579000.0,0.483675,0.5058,26,723627.0,0.223558,addition,7.9963093,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,38.8123,50.23
Comcast corp.  class a,CMCSA,"",307500561.0,17198507000.0,0.481266,0.504,27,-10088273.0,-3.17652,reduction,6.7135568,Q3 2007,COMMUNICATIONS,13F,09/30/2021,37.32,53.73
Thermo fisher scientific  inc.,TMO,"",29672678.0,16952890000.0,0.474393,0.4038,28,918536.0,3.194448,addition,7.5422604,Q3 2007,HEALTH CARE,13F,09/30/2021,198.3351,637.3
Netflix inc,NFLX,"",27044453.0,16506313000.0,0.461896,0.4005,29,-198126.0,-0.727266,reduction,6.1214936,Q2 2009,COMMUNICATIONS,13F,09/30/2021,181.36,691.69
Ishares core msci total international stock etf-ishares core msci total international stock etf,IXUS,"",227922264.0,16182481000.0,0.452835,0.4449,30,9854513.0,4.519014,addition,No Data,Q2 2015,FINANCE,13F,09/30/2021,57.2896,73.61
Abbott laboratories,ABT,"",134318636.0,15867060000.0,0.444008,0.4266,31,2127862.0,1.60969,addition,7.5765637,Q3 2007,HEALTH CARE,13F,09/30/2021,52.841,128.62
Verizon communications (bell atlantic corp.),VZ,"",289949448.0,15660169000.0,0.438219,0.4623,32,-6472970.0,-2.183698,reduction,7.0034136,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,50.01,51.73
Exxonmobil corp. (standard oil of new jersey),XOM,"",263275108.0,15485843000.0,0.433341,0.4737,33,-6545203.0,-2.425764,reduction,6.2187598,Q3 2007,ENERGY,13F,09/30/2021,79.84,64.31
Pepsico inc. (loft  inc.),PEP,"",100047662.0,15048168000.0,0.421093,0.4127,34,-29633.0,-0.02961,reduction,7.2387367,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,112.47,163.37
Accenture plc,ACN,"",45442896.0,14538092000.0,0.40682,0.3777,35,-588824.0,-1.27917,reduction,6.8188381,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,135.02,372.78
Coca cola co.,KO,"",269857499.0,14159425000.0,0.396223,0.4023,36,2764718.0,1.035115,addition,6.2587543,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,43.4335,55.91
Merck & co,MRK,"",187897289.0,14112965000.0,0.394923,0.4051,37,741796.0,0.396353,addition,7.4227371,Q3 2007,HEALTH CARE,13F,09/30/2021,61.733,82.6
At&t inc. (southwestern bell - sbc corp.),T,"",520767902.0,14065940000.0,0.393607,0.4076,38,11916885.0,2.34192,addition,7.2936681,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,38.2957,24.66
Texas instruments  inc.,TXN,"",72899263.0,14011966000.0,0.392097,0.3802,39,1871544.0,2.634949,addition,7.8962820,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,88.1226,189.57
Danaher corp.,DHR,"",45621495.0,13889008000.0,0.388656,0.3306,40,1360659.0,3.074183,addition,6.3904640,Q4 2019,HEALTH CARE,13F,09/30/2021,162.2026,309.67
Lilly (eli) & co.,LLY,"",59955588.0,13852738000.0,0.387641,0.3892,41,-972069.0,-1.595448,reduction,6.2517202,Q3 2007,HEALTH CARE,13F,09/30/2021,92.16,261.18
Wells fargo & co.  (northwest bancorporation),WFC,"",294902679.0,13686434000.0,0.382988,0.3769,42,-4086350.0,-1.366722,reduction,7.1343337,Q3 2007,FINANCE,13F,09/30/2021,52.18,49.84
Abbvie inc,ABBV,"",126839439.0,13682169000.0,0.382868,0.3844,43,4247445.0,3.4647,addition,7.1814066,Q1 2013,HEALTH CARE,13F,09/30/2021,75.1922,117.35
Costco co.,COST,"",30134123.0,13540768000.0,0.378912,0.3299,44,178344.0,0.595358,addition,6.8166094,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,193.7318,526.29
Broadcom ltd. (avago technologies),AVGO,"",27326466.0,13251423000.0,0.370815,0.359,45,280771.0,1.038136,addition,6.6607678,Q3 2009,INFORMATION TECHNOLOGY,13F,09/30/2021,236.6277,569.64
Chevron corp. (standard oil of california),CVX,"",128677283.0,13054308000.0,0.365299,0.3975,46,-7678423.0,-5.631171,reduction,6.6537302,Q3 2007,ENERGY,13F,09/30/2021,106.19,115.42
Nike inc.,NKE,"",89666115.0,13022210000.0,0.364401,0.3866,47,-244942.0,-0.272427,reduction,7.0156515,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2021,62.17,171.74
Medtronic plc,MDT,"",103020182.0,12913578000.0,0.361361,0.3615,48,-1596127.0,-1.525696,reduction,7.6657386,Q3 2007,HEALTH CARE,13F,09/30/2021,83.09,117.83
Walmart inc,WMT,"",92352100.0,12872035000.0,0.360198,0.3535,49,2290247.0,2.542971,addition,3.3118943,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,78.5177,141.94
Intuit  inc.,INTU,"",23464727.0,12659457000.0,0.35425,0.3197,50,33066.0,0.141117,addition,8.5922448,Q4 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,169.572,635.06
Mcdonalds corp.,MCD,"",50623997.0,12205951000.0,0.341559,0.3266,51,-174805.0,-0.344112,reduction,6.7787993,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2021,137.05,252.69
Nextera energy inc.,NEE,"",151402582.0,11888130000.0,0.332666,0.3115,52,-1339165.0,-0.876751,reduction,7.7189306,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,66.67,87.78
Citigroup  inc.,C,"",161104133.0,11306290000.0,0.316384,0.315,53,1149068.0,0.718369,addition,7.9487523,Q3 2007,FINANCE,13F,09/30/2021,78.3017,66.85
Morgan stanley,MS,"",113197098.0,11015209000.0,0.308239,0.3076,54,-7328049.0,-6.0801,reduction,6.0839356,Q3 2007,FINANCE,13F,09/30/2021,49.68,97.68
Bristol-myers squibb co,BMY,"",176533963.0,10445516000.0,0.292297,0.3257,55,1433256.0,0.818532,addition,7.9444168,Q3 2007,HEALTH CARE,13F,09/30/2021,57.0275,59.44
Amgen  inc.,AMGN,"",49013416.0,10422702000.0,0.291659,0.3245,56,1188514.0,2.485136,addition,8.6313662,Q3 2007,HEALTH CARE,13F,09/30/2021,169.8048,205.82
Moderna inc,MRNA,"",26882160.0,10345870000.0,0.289509,0.1268,57,7491435.0,38.634115,addition,6.6598305,Q4 2018,HEALTH CARE,13F,09/30/2021,134.8494,242.23
Oracle corp,ORCL,"",117360992.0,10225663000.0,0.286145,0.2679,58,-6276109.0,-5.076234,reduction,4.2860964,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,44.63,95.33
Qualcomm inc.,QCOM,"",78059598.0,10068129000.0,0.281737,0.3193,59,-2190810.0,-2.729967,reduction,6.9201771,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,65.13,183.54
Servicenow inc,NOW,"",16125077.0,10034153000.0,0.280786,0.2366,60,657340.0,4.249749,addition,8.1398672,Q3 2012,INFORMATION TECHNOLOGY,13F,09/30/2021,189.444,684.93
Lowes companies  inc.,LOW,"",48861886.0,9912121000.0,0.277371,0.2746,61,-1997046.0,-3.926638,reduction,7.0565539,Q3 2008,CONSUMER DISCRETIONARY,13F,09/30/2021,82.97,245.73
United parcel service  inc. class b,UPS,"",53524788.0,9746864000.0,0.272747,0.3051,62,809973.0,1.536519,addition,7.3493824,Q3 2007,TRANSPORTS,13F,09/30/2021,118.5958,207.85
Applied materials inc.,AMAT,"",74891677.0,9640805000.0,0.269779,0.2912,63,1410570.0,1.919636,addition,8.2943087,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2021,45.3702,155.98
Target corp.,TGT,"",41153523.0,9414691000.0,0.263451,0.2726,64,637721.0,1.574006,addition,8.3185485,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2021,80.8483,253.8
Prologis  inc.,PLD,"",72916385.0,9145900000.0,0.25593,0.2483,65,-1717537.0,-2.301282,reduction,9.8635491,Q4 2008,REAL ESTATE,13F,09/30/2021,61.69,150.38
American tower corp.  class a,AMT,"",34334510.0,9112721000.0,0.255001,0.257,66,157675.0,0.461351,addition,7.5437038,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,141.5614,257.53
International business machines corp.,IBM,"",67496490.92,8964901000.0,0.250865,0.2603,67,756218.25,1.133076,addition,7.1992356,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,165.8853,118.06
Intuitive surgical inc,ISRG,"",26777676.0,8873678000.0,0.248312,0.2262,68,264030.0,0.995827,addition,7.5013330,Q1 2009,HEALTH CARE,13F,09/30/2021,176.2746,361.42
Advanced micro devices inc,AMD,"",85527215.0,8800750000.0,0.246272,0.2236,69,-2204.0,-0.002577,reduction,7.0510852,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2021,23.89,151.34
Goldman sachs group inc,GS,"",23225471.0,8779925000.0,0.245689,0.2435,70,177002.0,0.767956,addition,6.8898381,Q3 2007,FINANCE,13F,09/30/2021,238.9977,391.55
Honeywell international inc. (allied chemical and dye - allied signal),HON,"",41268823.0,8760549000.0,0.245147,0.2428,71,1506663.0,3.789188,addition,5.9775300,Q3 2007,INDUSTRIALS,13F,09/30/2021,131.2504,220.49
Philip morris international inc,PM,"",91929488.0,8713997000.0,0.243844,0.2521,72,536032.0,0.58651,addition,5.8984476,Q2 2008,CONSUMER STAPLES,13F,09/30/2021,107.0978,93.59
Raytheon technologies corp. (united technologies),RTX,"",99853997.0,8583451000.0,0.240191,0.2405,73,-1427235.0,-1.40918,reduction,6.6221532,Q3 2007,INDUSTRIALS,13F,09/30/2021,67.06,87.45
Blackrock inc. class a,BLK,"",10120581.0,8487726000.0,0.237512,0.2412,74,217116.0,2.192324,addition,6.6497114,Q2 2009,FINANCE,13F,09/30/2021,441.0372,931.54
Gilead sciences inc.,GILD,"",120982349.0,8450617000.0,0.236474,0.2373,75,-2822189.0,-2.279552,reduction,9.6491815,Q3 2007,HEALTH CARE,13F,09/30/2021,68.12,67.46
Union pacific corp.,UNP,"",43045871.0,8437418000.0,0.236104,0.2742,76,-1749511.0,-3.905561,reduction,6.6008829,Q3 2007,TRANSPORTS,13F,09/30/2021,112.47,239.75
Starbucks corp.,SBUX,"",74791555.0,8250254000.0,0.230867,0.2335,77,-221171.0,-0.294845,reduction,6.3431053,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2021,57.8,112.52
Anthem inc,ANTM,"",21654875.0,8072938000.0,0.225905,0.2292,78,86326.0,0.40024,addition,8.8816653,Q3 2007,HEALTH CARE,13F,09/30/2021,174.0654,429.68
Cvs health corp. (melville shoe),CVS,"",94594948.0,8027330000.0,0.224629,0.2241,79,-1895062.0,-1.963998,reduction,7.1685934,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,73.46,92.73
American express co,AXP,"",47805713.0,8008889000.0,0.224113,0.2239,80,-885970.0,-1.819551,reduction,6.0175884,Q3 2007,FINANCE,13F,09/30/2021,87.3,179.61
Charles schwab corp,SCHW,"",108270677.0,7886432000.0,0.220686,0.2279,81,-4177008.0,-3.714623,reduction,5.9915619,Q4 2007,FINANCE,13F,09/30/2021,44.27,81.42
Zoetis  inc.,ZTS,"",38887998.0,7549717000.0,0.211264,0.1979,82,739698.0,1.939006,addition,8.2051850,Q1 2013,HEALTH CARE,13F,09/30/2021,72.3613,221.87
S&p global inc. (mcgraw-hill inc.),SPGI,"",17535606.0,7450702000.0,0.208493,0.1994,83,77909.0,0.446273,addition,7.2761851,Q4 2008,COMMUNICATIONS,13F,09/30/2021,155.4126,465.5
Analog devices inc,ADI,"",43693296.0,7317754000.0,0.204773,0.1414,84,14189157.0,48.09209,addition,11.8662668,Q4 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,113.1895,187.04
3m co. (minnesota mining & manufacturing),MMM,"",41630784.0,7302871000.0,0.204356,0.2205,85,1739749.0,4.361253,addition,7.1946132,Q3 2007,INDUSTRIALS,13F,09/30/2021,186.9952,183.34
Conocophillips (phillips petroleum),COP,"",107421028.0,7279923000.0,0.203714,0.1901,86,-4702118.0,-4.193709,reduction,8.0219898,Q3 2007,ENERGY,13F,09/30/2021,50.04,71.97
Caterpillar inc.,CAT,"",37727559.0,7242558000.0,0.202669,0.2235,87,838706.0,2.273603,addition,6.8912375,Q3 2007,INDUSTRIALS,13F,09/30/2021,106.9823,202.98
General electric co,GE,"",70225351.0,7235317000.0,0.202466,0.212,88,-505850.13,-0.715173,reduction,6.3841228,Q3 2007,INDUSTRIALS,13F,09/30/2021,255.84,101.99
Linde plc (praxair inc.),LIN,"",23860790.0,7000275000.0,0.195889,0.1982,89,-775449.0,-3.147595,reduction,4.6205010,Q4 2007,MATERIALS,13F,09/30/2021,142.53,331.48
Boeing company,BA,"",30650087.0,6741179000.0,0.188639,0.2054,90,-146688.0,-0.47631,reduction,5.2290348,Q3 2007,INDUSTRIALS,13F,09/30/2021,190.48,226.62
Equinix inc,EQIX,"",8487335.0,6706098000.0,0.187657,0.1784,91,503508.0,6.3066,addition,9.4566189,Q2 2009,INFORMATION TECHNOLOGY,13F,09/30/2021,493.949,798.0
Deere & co.,DE,"",19798760.0,6633968000.0,0.185638,0.2042,92,-1002825.0,-4.820907,reduction,6.3854304,Q3 2007,INDUSTRIALS,13F,09/30/2021,128.94,353.52
Lam research corp.,LRCX,"",11313232.0,6438927000.0,0.180181,0.2035,93,76201.0,0.678124,addition,7.9696644,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,162.1301,630.63
Fidelity national information services inc,FIS,"",52872604.0,6433538000.0,0.18003,0.2008,94,1951995.0,3.833409,addition,8.5597214,Q4 2008,FINANCE,13F,09/30/2021,110.5275,110.44
Stryker corp.,SYK,"",24204161.0,6383121000.0,0.178619,0.1675,95,1035957.0,4.47146,addition,6.4185628,Q3 2007,HEALTH CARE,13F,09/30/2021,144.3668,262.06
Automatic data processing inc,ADP,"",31176737.0,6232851000.0,0.174414,0.1681,96,773928.0,2.545581,addition,7.3752108,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2021,108.9263,236.88
General motors co,GM,"",117168238.0,6175936000.0,0.172821,0.1849,97,4900052.0,4.364595,addition,8.0709731,Q4 2010,CONSUMER DISCRETIONARY,13F,09/30/2021,36.8234,64.61
Micron technology  inc.,MU,"",86449875.0,6136211000.0,0.17171,0.201,98,1485308.0,1.74815,addition,7.6792895,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,37.0531,75.46
Booking holdings inc. (priceline),BKNG,"",2579723.0,6123928000.0,0.171366,0.1596,99,-40137.0,-1.532028,reduction,6.2828373,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2021,1761.43,2366.38
Charter communications inc,CHTR,"",8395253.0,6108051000.0,0.170922,0.1776,100,-447696.0,-5.062745,reduction,4.5670505,Q3 2010,COMMUNICATIONS,13F,09/30/2021,322.62,691.04
Marsh & mclennan companies  inc.,MMC,"",40150367.0,6079971000.0,0.170136,0.1552,101,517226.0,1.305034,addition,7.9250516,Q4 2007,FINANCE,13F,09/30/2021,76.9914,167.79
Edwards lifesciences corp.,EW,"",53033851.0,6003965000.0,0.168009,0.1524,102,172681.0,0.326669,addition,8.5081794,Q2 2009,HEALTH CARE,13F,09/30/2021,59.7746,118.35
Lockheed martin corp.,LMT,"",17286821.0,5965680000.0,0.166938,0.1786,103,330694.0,1.950292,addition,6.2426116,Q3 2007,INDUSTRIALS,13F,09/30/2021,277.3219,341.99
Capital one financial corp,COF,"",36505794.0,5912845000.0,0.165459,0.1582,104,-235621.0,-0.641295,reduction,8.1830682,Q3 2007,FINANCE,13F,09/30/2021,88.54,151.95
Cigna holding co,CI,"",29524859.0,5909697000.0,0.165371,0.1896,105,786502.0,2.736767,addition,8.6810363,Q3 2007,HEALTH CARE,13F,09/30/2021,168.0585,216.98
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",29488333.0,5769099000.0,0.161437,0.1532,106,631566.0,2.188624,addition,6.9407446,Q4 2008,FINANCE,13F,09/30/2021,125.7692,202.46
Regeneron pharmaceuticals inc.,REGN,"",9366862.0,5668639000.0,0.158626,0.1404,107,333312.0,3.689712,addition,8.9117896,Q4 2009,HEALTH CARE,13F,09/30/2021,470.4704,641.83
Truist financial corp,TFC,"",96507897.0,5660188000.0,0.158389,0.1448,108,2783114.0,2.969454,addition,7.1761344,Q3 2007,FINANCE,13F,09/30/2021,49.9969,62.43
U.s. bancorp (first national bank of cincinnati),USB,"",93827638.0,5577113000.0,0.156064,0.1446,109,2630503.0,2.884414,addition,6.3284905,Q3 2007,FINANCE,13F,09/30/2021,50.8187,59.32
Crown castle international corp,CCI,"",32091049.0,5562022000.0,0.155642,0.1687,110,1033960.0,3.329224,addition,7.4251087,Q1 2009,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,105.5173,184.7
Altria group  inc. (philip morris),MO,"",119833715.0,5454831000.0,0.152643,0.1616,111,-1954649.0,-1.604955,reduction,6.4983001,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,66.3,44.42
Idexx laboratories inc.,IDXX,"",8694034.0,5406821000.0,0.151299,0.1455,112,419143.0,5.065239,addition,10.2191464,Q2 2009,HEALTH CARE,13F,09/30/2021,228.4778,627.99
Boston scientific inc.,BSX,"",122400261.0,5310947000.0,0.148616,0.1403,113,4557618.0,3.867546,addition,8.5964135,Q4 2007,HEALTH CARE,13F,09/30/2021,28.7175,41.61
T-mobile us inc,TMUS,"",41481328.0,5299656000.0,0.1483,0.164,114,794638.0,1.953066,addition,3.3239141,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,85.5837,117.19
Tjx companies inc.,TJX,"",80069898.0,5283012000.0,0.147835,0.1542,115,-2084206.0,-2.536947,reduction,6.6584023,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2021,44.15,73.55
Duke energy corp.,DUK,"",53113065.0,5183304000.0,0.145044,0.1428,116,1152984.0,2.21898,addition,6.9047951,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,85.0287,98.99
Mondelez international inc. (kraft foods),MDLZ,"",88732183.0,5162440000.0,0.144461,0.1565,117,-1307803.0,-1.452469,reduction,6.3479093,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,43.48,62.17
Newmont mining corp. (holding co.),NEM,"",92169488.0,5004805000.0,0.14005,0.1619,118,409977.0,0.446795,addition,11.5337849,Q3 2007,MATERIALS,13F,09/30/2021,36.1013,57.95
Public storage  inc.,PSA,"",16798900.0,4990953000.0,0.139662,0.1419,119,-159563.0,-0.940905,reduction,9.5868677,Q4 2008,REAL ESTATE,13F,09/30/2021,216.41,333.54
Sherwin-williams co.,SHW,"",17676108.0,4944539000.0,0.138363,0.1316,120,321182.0,1.850668,addition,6.7132334,Q3 2007,MATERIALS,13F,09/30/2021,99.4464,333.16
Cme group inc,CME,"",25552312.0,4941308000.0,0.138273,0.1461,121,880410.0,3.568472,addition,7.1149575,Q3 2007,FINANCE,13F,09/30/2021,133.8252,226.42
Autodesk  inc.,ADSK,"",17277032.0,4926890000.0,0.137869,0.1456,122,-646898.0,-3.60913,reduction,7.8585387,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2021,112.08,330.55
Becton  dickinson and co.,BDX,"",19865890.0,4883431000.0,0.136653,0.1366,123,-315311.0,-1.5624,reduction,6.9173291,Q3 2007,HEALTH CARE,13F,09/30/2021,197.93,249.86
Square inc,SQ,"",20056503.0,4810352000.0,0.134608,0.1401,124,-592258.0,-2.86825,reduction,5.0469793,Q4 2015,FINANCE,13F,09/30/2021,66.44,231.85
Intercontinental exchange inc,ICE,"",41520577.0,4767395000.0,0.133406,0.1367,125,135218.0,0.326729,addition,7.3728481,Q4 2008,FINANCE,13F,09/30/2021,70.1061,136.27
Chubb limited,CB,"",27411957.0,4755427000.0,0.133071,0.1267,126,-1216853.0,-4.250449,reduction,6.2478814,Q3 2007,FINANCE,13F,09/30/2021,136.05,191.78
Cadence design systems  inc.,CDNS,"",31256354.0,4733462000.0,0.132457,0.1186,127,119239.0,0.382948,addition,11.2928514,Q2 2009,INFORMATION TECHNOLOGY,13F,09/30/2021,50.1579,187.74
Fiserv inc.,FISV,"",42945126.0,4659545000.0,0.130388,0.1291,128,-454690.0,-1.047677,reduction,6.4851737,Q4 2008,INFORMATION TECHNOLOGY,13F,09/30/2021,70.31,100.88
Aon plc,AON,"",16084342.0,4596424000.0,0.128622,0.1099,129,-458717.0,-2.772867,reduction,7.1249370,Q3 2007,FINANCE,13F,09/30/2021,126.72,299.81
Metlife inc.,MET,"",74182879.0,4579308000.0,0.128143,0.1184,130,3123446.0,4.39554,addition,8.6571477,Q3 2007,FINANCE,13F,09/30/2021,44.3825,63.13
Illumina inc,ILMN,"",11227147.0,4553842000.0,0.12743,0.1476,131,17837.0,0.159127,addition,7.6531336,Q4 2009,HEALTH CARE,13F,09/30/2021,204.1406,377.63
Colgate-palmolive co.,CL,"",60178632.0,4548302000.0,0.127275,0.1392,132,-1308331.0,-2.127819,reduction,7.1135657,Q3 2007,CONSUMER STAPLES,13F,09/30/2021,71.3,77.58
Southern co.,SO,"",73349666.0,4545480000.0,0.127196,0.1264,133,-1698300.0,-2.262953,reduction,6.9274535,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2021,51.22,62.17
Ishares msci eafe etf-ishares msci eafe etf,EFA,"",58152799.0,4536499000.0,0.126945,0.1229,134,2178268.0,3.891534,addition,No Data,Q2 2009,FINANCE,13F,09/30/2021,64.4574,80.95
Activision blizzard inc,ATVI,"",58141430.0,4499567000.0,0.125911,0.1537,135,267407.0,0.46205,addition,7.4759931,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2021,55.2125,64.2
Estee lauder companies inc.,EL,"",14983360.0,4493958000.0,0.125755,0.1361,136,-391386.0,-2.545642,reduction,6.4293790,Q4 2008,CONSUMER STAPLES,13F,09/30/2021,116.79,354.46
Nxp semiconductors n.v.,NXPI,"",22577269.0,4422210000.0,0.123747,0.1299,137,-110335.0,-0.486323,reduction,8.5153900,Q1 2011,INFORMATION TECHNOLOGY,13F,09/30/2021,132.06,217.81
Waste management  inc.,WM,"",29534720.0,4411309000.0,0.123442,0.1138,138,354130.0,1.213581,addition,7.0137240,Q1 2008,INDUSTRIALS,13F,09/30/2021,76.761,165.41
