Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Mastercard inc,MA,,66373982,24232478000,0.673512,0.6993,15,-453735,-0.678962,reduction,6.7809591,Q3 2007,FINANCE,13F,6/30/21,124,335.52
Paypal holdings inc,PYPL,,82174887,23952335000,0.665726,0.5895,16,-424858,-0.514358,reduction,6.9934161,Q3 2015,COMMUNICATIONS,13F,6/30/21,63.1,232.59
Home depot  inc. (the),HD,,70919820,22615623000,0.628574,0.6464,17,-1134056,-1.5739,reduction,6.7199731,Q3 2007,CONSUMER DISCRETIONARY,13F,6/30/21,150.02,371.74
Bank of america corp. (north carolina national bank),BAC,,517125912,21321101000,0.592594,0.583,18,4391275,0.856442,addition,6.1453573,Q3 2007,FINANCE,13F,6/30/21,23.4919,47.78
Procter & gamble co. (oh) (1905),PG,,155782432,21019725000,0.584218,0.6492,19,-7325478,-4.491185,reduction,6.4152463,Q3 2007,CONSUMER STAPLES,13F,6/30/21,90.19,142.99
Walt disney co. (the),DIS,,119480524,21001090000,0.5837,0.6318,20,2973659,2.552347,addition,6.5752449,Q3 2007,COMMUNICATIONS,13F,6/30/21,114.0064,169.07
Adobe systems  inc.,ADBE,,35552254,20820821000,0.578689,0.5264,21,-2127478,-5.646213,reduction,7.4626898,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,169.61,650.36
Intel corp.,INTC,,323686641,18171769000,0.505062,0.6065,22,1241219,0.384939,addition,7.9784728,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,38.7768,49
Comcast corp.  class a,CMCSA,,317588834,18108914000,0.503315,0.5051,23,-64767,-0.020389,reduction,6.9338107,Q3 2007,COMMUNICATIONS,13F,6/30/21,37.32,51.43
Cisco systems  inc.,CSCO,,340829610,18063968000,0.502066,0.5091,24,5849767,1.746304,addition,8.0808665,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,35.3188,55.97
Exxonmobil corp. (standard oil of new jersey),XOM,,269820311,17020266000,0.473058,0.464,25,-12995431,-4.595017,reduction,6.3733625,Q3 2007,ENERGY,13F,6/30/21,79.84,64.47
Verizon communications (bell atlantic corp.),VZ,,296422418,16608549000,0.461614,0.5219,26,-8948031,-2.930222,reduction,7.1597612,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,50.01,52.99
Ishares core msci total international stock etf-ishares core msci total international stock etf,IXUS,,218067751,15984366000,0.444266,0.4307,27,9520878,4.565342,addition,No Data,Q2 2015,FINANCE,13F,6/30/21,56.6693,73.07
Pfizer  inc.,PFE,,407048272,15940011000,0.443033,0.432,28,1314302,0.323932,addition,7.2600481,Q3 2007,HEALTH CARE,13F,6/30/21,32.6112,43.74
Abbott laboratories,ABT,,132190774,15324878000,0.425936,0.4722,29,-1883532,-1.404842,reduction,7.4565366,Q3 2007,HEALTH CARE,13F,6/30/21,51.79,128.89
Salesforce.com inc.,CRM,,60984878,14896776000,0.414038,0.4053,30,-4098724,-6.297629,reduction,6.2293032,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,108.96,299.69
Pepsico inc. (loft  inc.),PEP,,100077295,14828451000,0.412139,0.4168,31,-179347,-0.178888,reduction,7.2408807,Q3 2007,CONSUMER STAPLES,13F,6/30/21,112.47,161.6
At&t inc. (southwestern bell - sbc corp.),T,,508851017,14644734000,0.407033,0.4378,32,16734100,3.400432,addition,7.1267649,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,38.5575,25.26
Merck & co,MRK,,187155493,14555084000,0.404541,0.4394,33,-16081480.68,-7.912675,reduction,7.393433,Q3 2007,HEALTH CARE,13F,6/30/21,61.68,88.05
Thermo fisher scientific  inc.,TMO,,28754142,14505602000,0.403166,0.3931,34,-557677,-1.902567,reduction,7.3087851,Q3 2007,HEALTH CARE,13F,6/30/21,186.42,633.07
Coca cola co.,KO,,267092781,14452387000,0.401686,0.4372,35,-15158896,-5.370702,reduction,6.1946327,Q3 2007,CONSUMER STAPLES,13F,6/30/21,43.34,56.37
Netflix inc,NFLX,,27242579,14389801000,0.399947,0.4416,36,-1564569,-5.431183,reduction,6.1663393,Q2 2009,COMMUNICATIONS,13F,6/30/21,181.36,690.31
Chevron corp. (standard oil of california),CVX,,136355706,14281898000,0.396948,0.4066,37,4339477,3.287078,addition,7.0507712,Q3 2007,ENERGY,13F,6/30/21,106.1923,114.49
Spdr s&p 500 etf trust,SPY,CALL,33235000,14226571000,0.39541,0.284,38,8856900,36.331379,addition,No Data,Q4 2012,FINANCE,13F,6/30/21,,459.25
Lilly (eli) & co.,LLY,,60927657,13984117000,0.388671,0.3243,39,1856395,3.142636,addition,6.3530803,Q3 2007,HEALTH CARE,13F,6/30/21,92.1568,254.76
Nike inc.,NKE,,89911057,13890362000,0.386066,0.3696,40,-4725845,-4.99366,reduction,7.0348162,Q3 2007,CONSUMER DISCRETIONARY,13F,6/30/21,62.17,167.29
Abbvie inc,ABBV,,122591994,13808761000,0.383798,0.4027,41,-4024003,-3.178116,reduction,6.9409243,Q1 2013,HEALTH CARE,13F,6/30/21,74.06,114.67
Texas instruments  inc.,TXN,,71027719,13658630000,0.379625,0.3942,42,58668,0.082667,addition,7.6935606,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,85.3784,187.48
Accenture plc,ACN,,46031720,13569688000,0.377153,0.3916,43,-2197788,-4.556936,reduction,6.9071928,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,135.02,358.79
Wells fargo & co.  (northwest bancorporation),WFC,,298989029,13541213000,0.376362,0.3256,44,15384776,5.424734,addition,7.2331914,Q3 2007,FINANCE,13F,6/30/21,52.1764,51.16
Medtronic plc,MDT,,104616309,12986022000,0.360931,0.3706,45,-2138321,-2.003024,reduction,7.7845066,Q3 2007,HEALTH CARE,13F,6/30/21,83.09,119.86
Broadcom ltd. (avago technologies),AVGO,,27045695,12896469000,0.358442,0.3716,46,-225075,-0.825334,reduction,6.5923305,Q3 2009,INFORMATION TECHNOLOGY,13F,6/30/21,234.05,531.67
Walmart inc,WMT,,90061853,12700522000,0.352996,0.3507,47,2205438,2.510275,addition,3.2297624,Q3 2007,CONSUMER STAPLES,13F,6/30/21,76.9679,149.42
Danaher corp.,DHR,,44260836,11877836000,0.33013,0.3002,48,-1124407,-2.477473,reduction,6.1998687,Q4 2019,HEALTH CARE,13F,6/30/21,157.83,311.77
Costco co.,COST,,29955779,11852604000,0.329429,0.3079,49,229495,0.772027,addition,6.7762663,Q3 2007,CONSUMER STAPLES,13F,6/30/21,192.2108,491.54
Mcdonalds corp.,MCD,,50798802,11734014000,0.326133,0.339,50,-663790,-1.28985,reduction,6.8022066,Q3 2007,CONSUMER DISCRETIONARY,13F,6/30/21,137.05,245.55
Bristol-myers squibb co,BMY,,175100707,11700230000,0.325194,0.3273,51,-1309341,-0.742215,reduction,7.8799172,Q3 2007,HEALTH CARE,13F,6/30/21,57.01,58.4
Amgen  inc.,AMGN,,47824902,11657320000,0.324001,0.3566,52,-947172,-1.942038,reduction,8.4220664,Q3 2007,HEALTH CARE,13F,6/30/21,168.74,206.97
Intuit  inc.,INTU,,23431661,11485499000,0.319225,0.2606,53,285308,1.232626,addition,8.5801368,Q4 2007,INFORMATION TECHNOLOGY,13F,6/30/21,169.0482,625.99
Qualcomm inc.,QCOM,,80250408,11470191000,0.3188,0.3258,54,-3349515,-4.006601,reduction,7.1143979,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,65.13,133.04
Citigroup  inc.,C,,159955065,11316822000,0.314537,0.3425,55,-249515,-0.155748,reduction,7.8920581,Q3 2007,FINANCE,13F,6/30/21,78.36,69.16
Nextera energy inc.,NEE,,152741747,11192913000,0.311093,0.3377,56,768026,0.505368,addition,7.787205,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,66.6734,85.33
Morgan stanley,MS,,120525147,11050949000,0.307148,0.2724,57,1162612,0.974018,addition,6.4777918,Q3 2007,FINANCE,13F,6/30/21,49.6792,102.78
United parcel service  inc. class b,UPS,,52714815,10963099000,0.304706,0.2699,58,-1312927,-2.430098,reduction,7.2381666,Q3 2007,TRANSPORTS,13F,6/30/21,117.62,213.47
Applied materials inc.,AMAT,,73481107,10463707000,0.290826,0.2927,59,-1072789,-1.438944,reduction,8.138087,Q4 2008,INFORMATION TECHNOLOGY,13F,6/30/21,43.77,136.65
Lowes companies  inc.,LOW,,50858932,9865107000,0.274189,0.3013,60,-3048030,-5.654242,reduction,7.344964,Q3 2008,CONSUMER DISCRETIONARY,13F,6/30/21,82.97,233.82
Union pacific corp.,UNP,,44795382,9851847000,0.27382,0.3031,61,-2001801,-4.27761,reduction,6.8691622,Q3 2007,TRANSPORTS,13F,6/30/21,112.47,241.4
Target corp.,TGT,,40515802,9794290000,0.27222,0.2257,62,1747686,4.50805,addition,8.189643,Q4 2008,CONSUMER DISCRETIONARY,13F,6/30/21,78.5181,259.62
Oracle corp,ORCL,,123637101,9623912000,0.267485,0.2657,63,-5186734,-4.026222,reduction,4.5153038,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,44.63,95.94
International business machines corp.,IBM,,63805232,9353208000,0.259961,0.2518,64,-480984,-0.748191,reduction,7.1185767,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,166.26,125.1
American tower corp.  class a,AMT,,34176835,9232530000,0.256607,0.2428,65,-379758,-1.098945,reduction,7.5090607,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,140.99,281.97
Philip morris international inc,PM,,91393456,9058006000,0.251756,0.2349,66,1318842,1.464166,addition,5.8640543,Q2 2008,CONSUMER STAPLES,13F,6/30/21,107.172,94.54
Prologis  inc.,PLD,,74633922,8920993000,0.247948,0.2337,67,-372397,-0.496488,reduction,10.0958838,Q4 2008,REAL ESTATE,13F,6/30/21,61.69,144.96
Goldman sachs group inc,GS,,23048469,8747586000,0.243128,0.2065,68,1559063,7.255031,addition,6.8373304,Q3 2007,FINANCE,13F,6/30/21,237.9329,413.35
Honeywell international inc. (allied chemical and dye - allied signal),HON,,39762160,8721829000,0.242413,0.2786,69,-3912642,-8.95858,reduction,5.7592993,Q3 2007,INDUSTRIALS,13F,6/30/21,128.18,218.62
Blackrock inc. class a,BLK,,9903465,8665235000,0.24084,0.2182,70,56702,0.575844,addition,6.5070556,Q2 2009,FINANCE,13F,6/30/21,432.319,943.46
Raytheon technologies corp. (united technologies),RTX,,101281232,8640301000,0.240147,0.2308,71,-332944,-0.327655,reduction,6.7168051,Q3 2007,INDUSTRIALS,13F,6/30/21,67.06,88.86
Gilead sciences inc.,GILD,,123804538,8525183000,0.236947,0.2369,72,-918595,-0.736507,reduction,9.8742707,Q3 2007,HEALTH CARE,13F,6/30/21,68.12,64.88
Servicenow inc,NOW,,15467737,8500295000,0.236255,0.2362,73,-599559,-3.731549,reduction,7.8080449,Q3 2012,INFORMATION TECHNOLOGY,13F,6/30/21,171.05,697.76
Starbucks corp.,SBUX,,75012726,8387173000,0.233111,0.2478,74,-2157078,-2.795236,reduction,6.3618629,Q4 2008,CONSUMER DISCRETIONARY,13F,6/30/21,57.8,106.07
Anthem inc,ANTM,,21568549,8234871000,0.228878,0.2332,75,-538279,-2.434899,reduction,8.8462591,Q3 2007,HEALTH CARE,13F,6/30/21,173.27,435.13
Charles schwab corp,SCHW,,112447685,8187314000,0.227556,0.2065,76,4670450,4.333429,addition,6.2227122,Q4 2007,FINANCE,13F,6/30/21,44.2669,82.03
Intuitive surgical inc,ISRG,,26513646,8127669000,0.225899,0.1949,77,-413394,-1.535237,reduction,7.4273693,Q1 2009,HEALTH CARE,13F,6/30/21,174.73,361.13
Cvs health corp. (melville shoe),CVS,,96490010,8051125000,0.223771,0.2091,78,1927510,2.038345,addition,7.312205,Q3 2007,CONSUMER STAPLES,13F,6/30/21,73.4634,89.28
American express co,AXP,,48691683,8045326000,0.22361,0.1926,79,2355868,5.084335,addition,6.1291107,Q3 2007,FINANCE,13F,6/30/21,87.3021,173.78
Advanced micro devices inc,AMD,,85529419,8033779000,0.223289,0.2012,80,-1680516,-1.926978,reduction,7.0512669,Q4 2008,INFORMATION TECHNOLOGY,13F,6/30/21,23.89,120.23
Caterpillar inc.,CAT,,36888853,8028123000,0.223132,0.2373,81,2064453,5.92818,addition,6.7380412,Q3 2007,INDUSTRIALS,13F,6/30/21,105.0537,204.01
3m co. (minnesota mining & manufacturing),MMM,,39891035,7923555000,0.220226,0.2244,82,265185,0.669222,addition,6.8939505,Q3 2007,INDUSTRIALS,13F,6/30/21,187.5045,178.68
General electric co,GE,,70731201.13,7616334000,0.211687,0.2187,83,-117736.25,-0.166179,reduction,51.4408735,Q3 2007,INDUSTRIALS,13F,6/30/21,31.98,104.87
Boeing company,BA,,30796775,7377675000,0.205053,0.2384,84,-1055221,-3.312888,reduction,5.2540604,Q3 2007,INDUSTRIALS,13F,6/30/21,190.48,207.03
Deere & co.,DE,,20801585,7336927000,0.203921,0.2203,85,764593,3.815907,addition,6.7088582,Q3 2007,INDUSTRIALS,13F,6/30/21,128.9389,342.31
Lam research corp.,LRCX,,11237031,7311936000,0.203226,0.2043,86,-442072,-3.785154,reduction,7.9159842,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,159.37,563.57
Micron technology  inc.,MU,,84964567,7220291000,0.200679,0.2234,87,-1228845,-1.425683,reduction,7.5473505,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,36.46,69.1
Fidelity national information services inc,FIS,,50920609,7213922000,0.200502,0.1944,88,3877705,8.242912,addition,8.2437065,Q4 2008,FINANCE,13F,6/30/21,110.1021,110.74
S&p global inc. (mcgraw-hill inc.),SPGI,,17457697,7165512000,0.199157,0.1832,89,-205136,-1.161399,reduction,7.2438577,Q4 2008,COMMUNICATIONS,13F,6/30/21,154.21,474.16
Linde plc (praxair inc.),LIN,,24636239,7122336000,0.197957,0.2613,90,-7100317,-22.372676,reduction,4.7706621,Q4 2007,MATERIALS,13F,6/30/21,142.53,319.2
Zoetis  inc.,ZTS,,38148300,7109317000,0.197595,0.1827,91,-1319845,-3.344077,reduction,8.0491122,Q1 2013,HEALTH CARE,13F,6/30/21,70,216.2
Analog devices inc,ADI,,43081590,7020145091,0.195116,0.1414,92,13577451,46.018801,addition,11.7001391,,INFORMATION TECHNOLOGY,13G,8/31/21,,173.49
Conocophillips (phillips petroleum),COP,,112123146,6828298000,0.189784,0.1668,93,4978016,4.64605,addition,8.3731347,Q3 2007,ENERGY,13F,6/30/21,50.0444,74.49
Cigna holding co,CI,,28738357,6813003000,0.189359,0.2103,94,-865465,-2.923491,reduction,8.4497853,Q3 2007,HEALTH CARE,13F,6/30/21,167.18,213.61
General motors co,GM,,112268186,6642907000,0.184632,0.1823,95,4323775,4.005557,addition,7.7334397,Q4 2010,CONSUMER DISCRETIONARY,13F,6/30/21,36.1328,54.43
Lockheed martin corp.,LMT,,16956127,6415353000,0.178307,0.1769,96,662580,4.066518,addition,6.1231915,Q3 2007,INDUSTRIALS,13F,6/30/21,276.002,332.32
Equinix inc,EQIX,,7983827,6407816000,0.178097,0.1462,97,665274,9.09024,addition,8.8956085,Q2 2009,INFORMATION TECHNOLOGY,13F,6/30/21,475.2655,837.07
Charter communications inc,CHTR,,8842949,6379747000,0.177317,0.1734,98,-719990,-7.528962,reduction,4.8105989,Q3 2010,COMMUNICATIONS,13F,6/30/21,322.62,674.89
Crown castle international corp,CCI,,31057089,6059238000,0.168409,0.1548,99,457321,1.494524,addition,7.1858749,Q1 2009,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,103.2625,180.3
Automatic data processing inc,ADP,,30402809,6038605000,0.167836,0.169,100,-111278,-0.364677,reduction,7.1921293,Q4 2008,INFORMATION TECHNOLOGY,13F,6/30/21,106.61,224.49
Stryker corp.,SYK,,23168204,6017476000,0.167248,0.1761,101,-1437046,-5.840404,reduction,6.1438433,Q3 2007,HEALTH CARE,13F,6/30/21,139.03,266.07
T-mobile us inc,TMUS,,40686690,5892654000,0.163779,0.1479,102,527815,1.314317,addition,3.2602394,Q2 2013,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,84.7595,115.03
Newmont mining corp. (holding co.),NEM,,91759511,5815719000,0.161641,0.1695,103,-3939154,-4.116206,reduction,11.4824817,Q3 2007,MATERIALS,13F,6/30/21,36.02,54
Altria group  inc. (philip morris),MO,,121788364,5806869000,0.161395,0.2086,104,-16973848,-12.232327,reduction,6.6042961,Q3 2007,CONSUMER STAPLES,13F,6/30/21,66.3,44.11
Idexx laboratories inc.,IDXX,,8612415,5802700730,0.161279,0.1455,105,337524,4.078894,addition,10.1232097,,HEALTH CARE,13G,8/31/21,,666.14
Booking holdings inc. (priceline),BKNG,,2619860,5732489000,0.159328,0.1947,106,-223820,-7.870787,reduction,6.3805897,Q3 2007,CONSUMER DISCRETIONARY,13F,6/30/21,1761.43,2420.78
Capital one financial corp,COF,,36741415,5683530000,0.157967,0.134,107,902651,2.518644,addition,8.2358846,Q3 2007,FINANCE,13F,6/30/21,88.5362,151.03
Mondelez international inc. (kraft foods),MDLZ,,90039986,5622097000,0.156259,0.1615,108,-3830049,-4.080161,reduction,6.4414696,Q3 2007,CONSUMER STAPLES,13F,6/30/21,43.48,60.74
Marsh & mclennan companies  inc.,MMC,,39633141,5575591000,0.154967,0.1464,109,-1257547,-3.075387,reduction,7.8229594,Q4 2007,FINANCE,13F,6/30/21,76.02,166.8
Tjx companies inc.,TJX,,82154104,5538830000,0.153945,0.1695,110,-5018937,-5.757442,reduction,6.8317194,Q3 2007,CONSUMER DISCRETIONARY,13F,6/30/21,44.15,65.49
Activision blizzard inc,ATVI,,57874023,5523497000,0.153519,0.1589,111,-248370,-0.427322,reduction,7.4416092,Q3 2007,INFORMATION TECHNOLOGY,13F,6/30/21,55.11,78.19
Pnc financial services group  inc. (the) (provident national trust co.),PNC,,28856767,5504716000,0.152997,0.1412,112,1475403,5.388347,addition,6.7920913,Q4 2008,FINANCE,13F,6/30/21,124.2441,211.03
Edwards lifesciences corp.,EW,,52861170,5474832000,0.152166,0.1405,113,-4280280,-7.490674,reduction,8.4804763,Q2 2009,HEALTH CARE,13F,6/30/21,59.6,119.82
Illumina inc,ILMN,,11209310,5304358000,0.147428,0.1261,114,34891,0.31224,addition,7.6409748,Q4 2009,HEALTH CARE,13F,6/30/21,203.8211,415.06
Fedex corporation,FDX,,17681744,5274994000,0.146612,0.1546,115,-837681,-4.523256,reduction,6.6560287,Q3 2007,TRANSPORTS,13F,6/30/21,196.62,235.53
Cme group inc,CME,,24671902,5247220000,0.14584,0.1482,116,-26949,-0.10911,reduction,6.8698102,Q3 2007,FINANCE,13F,6/30/21,131.7,220.55
Autodesk  inc.,ADSK,,17923930,5231995000,0.145417,0.1523,117,-772089,-4.129697,reduction,8.1527833,Q4 2008,INFORMATION TECHNOLOGY,13F,6/30/21,112.08,317.61
Truist financial corp,TFC,,93724783,5201726000,0.144576,0.1596,118,606908,0.651763,addition,6.9691876,Q3 2007,FINANCE,13F,6/30/21,49.7376,63.47
U.s. bancorp (first national bank of cincinnati),USB,,91197135,5195503000,0.144403,0.1497,119,-880592,-0.956357,reduction,6.1510682,Q3 2007,FINANCE,13F,6/30/21,50.57,60.37
Duke energy corp.,DUK,,51960081,5129501000,0.142568,0.1499,120,-873398,-1.653115,reduction,6.7549051,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,84.75,102.01
Public storage  inc.,PSA,,16958463,5099242000,0.141727,0.124,121,-145129,-0.848529,reduction,9.6779278,Q4 2008,REAL ESTATE,13F,6/30/21,216.41,332.18
Regeneron pharmaceuticals inc.,REGN,,9033550,5045598000,0.140236,0.1342,122,-615998,-6.383698,reduction,8.5946709,Q4 2009,HEALTH CARE,13F,6/30/21,465.5,639.94
Boston scientific inc.,BSX,,117842643,5038950000,0.140051,0.1485,123,-12894246,-9.862745,reduction,8.2763229,Q4 2007,HEALTH CARE,13F,6/30/21,28.15,43.13
Square inc,SQ,,20648761,5034169000,0.139919,0.1454,124,-1137281,-5.220228,reduction,5.1960139,Q4 2015,FINANCE,13F,6/30/21,66.44,254.5
Colgate-palmolive co.,CL,,61486963,5001965000,0.139024,0.1414,125,433721,0.710398,addition,7.2682203,Q3 2007,CONSUMER STAPLES,13F,6/30/21,71.3014,76.19
Humana  inc.,HUM,,11182454,4950697000,0.137599,0.1522,126,-1169726,-9.469794,reduction,8.701983,Q3 2007,HEALTH CARE,13F,6/30/21,235.17,463.16
Intercontinental exchange inc,ICE,,41385359,4912443000,0.136535,0.1302,127,1710310,4.310795,addition,7.3488373,Q4 2008,FINANCE,13F,6/30/21,69.961,138.46
Becton  dickinson and co.,BDX,,20181201,4907867000,0.136408,0.1577,128,-1881904,-8.529643,reduction,7.0271208,Q3 2007,HEALTH CARE,13F,6/30/21,197.93,239.59
Estee lauder companies inc.,EL,,15374746,4890398000,0.135923,0.1256,129,681085,4.63523,addition,6.5973232,Q4 2008,CONSUMER STAPLES,13F,6/30/21,116.7902,324.33
Freeport-mcmoran copper & gold  inc,FCX,,128022385,4750910000,0.132046,0.1324,130,-8788055,-6.423527,reduction,8.7204885,Q3 2007,MATERIALS,13F,6/30/21,16.31,37.72
Sherwin-williams co.,SHW,,17354926,4728350000,0.131419,0.1327,131,-1003043,-5.463802,reduction,6.5912512,Q3 2007,MATERIALS,13F,6/30/21,96.11,316.61
Vertex pharmaceuticals  inc.,VRTX,,23360089,4710095000,0.130911,0.1531,132,-884024,-3.646345,reduction,9.0044458,Q2 2008,HEALTH CARE,13F,6/30/21,145.43,184.93
Nxp semiconductors n.v.,NXPI,,22687604,4667296000,0.129722,0.1191,133,2560895,12.723864,addition,8.5570046,Q1 2011,INFORMATION TECHNOLOGY,13F,6/30/21,132.0621,200.86
Fiserv inc.,FISV,,43399816,4639005000,0.128935,0.1443,134,2163796,5.247344,addition,6.5538368,Q4 2008,INFORMATION TECHNOLOGY,13F,6/30/21,70.3095,98.49
Biogen inc,BIIB,,13206591,4573047000,0.127102,0.111,135,-296037,-2.19244,reduction,8.8614949,Q3 2007,HEALTH CARE,13F,6/30/21,272.03,266.68
Csx corp,CSX,,142288778,4564624000,0.126868,0.1384,136,-4249156,-2.899697,reduction,6.3113345,Q3 2007,TRANSPORTS,13F,6/30/21,14.19,36.17
Moderna inc,MRNA,,19390725,4556434000,0.126641,0.0801,137,-1412672,-6.790583,reduction,4.80389,Q4 2018,HEALTH CARE,13F,6/30/21,38.26,345.21
Chubb limited,CB,,28628810,4550262000,0.126469,0.1382,138,-1132743,-3.806061,reduction,6.5252331,Q3 2007,FINANCE,13F,6/30/21,136.05,195.38
Southern co.,SO,,75047966,4541152000,0.126216,0.1315,139,3064645,4.257438,addition,7.0878482,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,6/30/21,51.2157,62.32
Illinois tool works inc,ITW,,20159121,4506772000,0.12526,0.1319,140,-98420,-0.485844,reduction,6.4003749,Q4 2008,INDUSTRIALS,13F,6/30/21,134.49,227.87
Simon property group  inc.,SPG,,34188322,4460892000,0.123985,0.1152,141,-262814,-0.76286,reduction,10.4038833,Q3 2007,REAL ESTATE,13F,6/30/21,155.11,146.58
Ishares msci eafe etf-ishares msci eafe etf,EFA,,55974531,4415270000,0.122717,0.1208,142,1797659,3.31813,addition,No Data,Q2 2009,FINANCE,13F,6/30/21,63.9262,80.49
Progressive corp.,PGR,,44878302,4407497000,0.122501,0.1281,143,-695070,-1.525167,reduction,7.6693503,Q4 2007,FINANCE,13F,6/30/21,47.46,94.88
Norfolk southern corp.,NSC,,16347174,4338703000,0.120589,0.1326,144,-453161,-2.697333,reduction,6.6190336,Q3 2007,TRANSPORTS,13F,6/30/21,119.05,293.05
Air products & chemicals inc,APD,,15026258,4322754000,0.120146,0.1275,145,-396030,-2.567907,reduction,6.7880112,Q3 2007,MATERIALS,13F,6/30/21,145.93,299.81
Eaton corp. (torbenson axle co. - eaton axle & spring),ETN,,28796305,4267036000,0.118597,0.1224,146,-1323581,-4.394376,reduction,7.2210178,Q2 2013,CONSUMER DISCRETIONARY,13F,6/30/21,74.25,164.76
Cadence design systems  inc.,CDNS,,31137115,4260178000,0.118406,0.1312,147,-1460980,-4.481796,reduction,11.2497706,Q2 2009,INFORMATION TECHNOLOGY,13F,6/30/21,49.77,173.11
Metlife inc.,MET,,71059433,4252908000,0.118204,0.1166,148,5797903,8.884105,addition,8.2926413,Q3 2007,FINANCE,13F,6/30/21,43.6217,62.8
Ishares core u.s. aggregate bond etf,AGG,,35507241,4095050000,0.113817,0.1134,149,1606510,4.738865,addition,No Data,Q2 2011,FINANCE,13F,6/30/21,111.6733,114.64
Waste management  inc.,WM,,29180590,4088492000,0.113635,0.1154,150,-1266340,-4.159171,reduction,6.9296274,Q1 2008,INDUSTRIALS,13F,6/30/21,75.88,160.23
